Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2954,1024,0.000120,10 pairs: 1024 images;
1,20,2.2877,1024,0.000120,10 pairs: 1021 images; 4 pairs: 1 images;
15,40,1.9587,1024,0.000502,10 pairs: 156 images; 8 pairs: 126 images; 6 pairs: 219 images; 4 pairs: 253 images; 2 pairs: 269 images;
16,10,1.9701,1024,0.000555,10 pairs: 162 images; 8 pairs: 149 images; 6 pairs: 212 images; 4 pairs: 234 images; 2 pairs: 267 images;
16,20,1.9750,1024,0.000555,10 pairs: 147 images; 8 pairs: 144 images; 6 pairs: 205 images; 4 pairs: 261 images; 2 pairs: 267 images;
16,30,1.9534,1024,0.000555,10 pairs: 160 images; 8 pairs: 128 images; 6 pairs: 219 images; 4 pairs: 246 images; 2 pairs: 270 images;
16,40,1.9599,1024,0.000555,10 pairs: 121 images; 8 pairs: 149 images; 6 pairs: 252 images; 4 pairs: 248 images; 2 pairs: 253 images;
17,10,1.9642,1024,0.000612,10 pairs: 149 images; 8 pairs: 137 images; 6 pairs: 220 images; 4 pairs: 259 images; 2 pairs: 257 images;
17,20,1.9369,1024,0.000612,10 pairs: 123 images; 8 pairs: 133 images; 6 pairs: 211 images; 4 pairs: 247 images; 2 pairs: 309 images;
17,30,1.9444,1024,0.000612,10 pairs: 150 images; 8 pairs: 150 images; 6 pairs: 196 images; 4 pairs: 241 images; 2 pairs: 287 images;
17,40,1.9664,1024,0.000612,10 pairs: 160 images; 8 pairs: 157 images; 6 pairs: 214 images; 4 pairs: 229 images; 2 pairs: 264 images;
18,10,1.9422,1024,0.000671,10 pairs: 133 images; 8 pairs: 141 images; 6 pairs: 216 images; 4 pairs: 246 images; 2 pairs: 288 images;
18,20,1.9211,1024,0.000671,10 pairs: 114 images; 8 pairs: 127 images; 6 pairs: 226 images; 4 pairs: 269 images; 2 pairs: 288 images;
18,30,1.9388,1024,0.000671,10 pairs: 100 images; 8 pairs: 154 images; 6 pairs: 225 images; 4 pairs: 262 images; 2 pairs: 282 images;
18,40,1.9320,1024,0.000671,10 pairs: 123 images; 8 pairs: 127 images; 6 pairs: 224 images; 4 pairs: 276 images; 2 pairs: 272 images;
19,10,1.9312,1024,0.000732,10 pairs: 143 images; 8 pairs: 133 images; 6 pairs: 204 images; 4 pairs: 248 images; 2 pairs: 296 images;
19,20,1.9503,1024,0.000732,10 pairs: 115 images; 8 pairs: 132 images; 6 pairs: 229 images; 4 pairs: 265 images; 2 pairs: 283 images;
19,30,1.9304,1024,0.000732,10 pairs: 130 images; 8 pairs: 132 images; 6 pairs: 230 images; 4 pairs: 247 images; 2 pairs: 284 images;
19,40,1.9160,1024,0.000732,10 pairs: 97 images; 8 pairs: 115 images; 6 pairs: 238 images; 4 pairs: 275 images; 2 pairs: 299 images;
20,10,1.9244,1024,0.000796,10 pairs: 101 images; 8 pairs: 142 images; 6 pairs: 228 images; 4 pairs: 256 images; 2 pairs: 297 images;
20,20,1.9544,1024,0.000796,10 pairs: 122 images; 8 pairs: 121 images; 6 pairs: 219 images; 4 pairs: 259 images; 2 pairs: 303 images;
20,30,1.9460,1024,0.000796,10 pairs: 103 images; 8 pairs: 122 images; 6 pairs: 213 images; 4 pairs: 279 images; 2 pairs: 306 images;
20,40,1.9297,1024,0.000796,10 pairs: 105 images; 8 pairs: 124 images; 6 pairs: 231 images; 4 pairs: 278 images; 2 pairs: 286 images;
21,10,1.9437,1024,0.000862,10 pairs: 113 images; 8 pairs: 124 images; 6 pairs: 219 images; 4 pairs: 253 images; 2 pairs: 314 images;
21,20,1.9368,1024,0.000862,10 pairs: 113 images; 8 pairs: 149 images; 6 pairs: 212 images; 4 pairs: 236 images; 2 pairs: 314 images;
21,30,1.9098,1024,0.000862,10 pairs: 88 images; 8 pairs: 129 images; 6 pairs: 186 images; 4 pairs: 289 images; 2 pairs: 332 images;
21,40,1.9252,1024,0.000862,10 pairs: 85 images; 8 pairs: 138 images; 6 pairs: 239 images; 4 pairs: 254 images; 2 pairs: 307 images;
22,10,1.9362,1024,0.000930,10 pairs: 101 images; 8 pairs: 129 images; 6 pairs: 196 images; 4 pairs: 262 images; 2 pairs: 335 images;
22,20,1.8982,1024,0.000930,10 pairs: 114 images; 8 pairs: 117 images; 6 pairs: 208 images; 4 pairs: 248 images; 2 pairs: 337 images;
22,30,1.9177,1024,0.000930,10 pairs: 101 images; 8 pairs: 111 images; 6 pairs: 176 images; 4 pairs: 288 images; 2 pairs: 346 images;
22,40,1.9124,1024,0.000930,10 pairs: 81 images; 8 pairs: 121 images; 6 pairs: 194 images; 4 pairs: 276 images; 2 pairs: 352 images;
23,10,1.9182,1024,0.001000,10 pairs: 80 images; 8 pairs: 114 images; 6 pairs: 231 images; 4 pairs: 263 images; 2 pairs: 336 images;
23,20,1.9085,1024,0.001000,10 pairs: 108 images; 8 pairs: 119 images; 6 pairs: 181 images; 4 pairs: 270 images; 2 pairs: 346 images;
23,30,1.9177,1024,0.001000,10 pairs: 103 images; 8 pairs: 123 images; 6 pairs: 229 images; 4 pairs: 246 images; 2 pairs: 323 images;
23,40,1.8983,1024,0.001000,10 pairs: 92 images; 8 pairs: 113 images; 6 pairs: 218 images; 4 pairs: 250 images; 2 pairs: 351 images;
24,10,1.9088,1024,0.001071,10 pairs: 86 images; 8 pairs: 130 images; 6 pairs: 200 images; 4 pairs: 271 images; 2 pairs: 337 images;
